index,diagram,size,matchgate
0,"(3, 2, 1)",6,False
1,"(4, 2, 1)",7,False
2,"(3, 2, 1, 1)",7,False
3,"(5, 2, 1)",8,False
4,"(4, 3, 1)",8,False
5,"(4, 2, 1, 1)",8,False
6,"(3, 2, 2, 1)",8,False
7,"(3, 2, 1, 1, 1)",8,False
8,"(6, 2, 1)",9,False
9,"(5, 3, 1)",9,False
10,"(5, 2, 1, 1)",9,False
11,"(4, 3, 2)",9,False
12,"(4, 3, 1, 1)",9,False
13,"(4, 2, 2, 1)",9,False
14,"(4, 2, 1, 1, 1)",9,False
15,"(3, 3, 2, 1)",9,False
16,"(3, 2, 2, 1, 1)",9,False
17,"(3, 2, 1, 1, 1, 1)",9,False
18,"(7, 2, 1)",10,False
19,"(6, 3, 1)",10,False
20,"(6, 2, 1, 1)",10,False
21,"(5, 4, 1)",10,False
22,"(5, 3, 2)",10,False
23,"(5, 3, 1, 1)",10,False
24,"(5, 2, 2, 1)",10,False
25,"(5, 2, 1, 1, 1)",10,False
26,"(4, 3, 1, 1, 1)",10,False
27,"(4, 2, 2, 1, 1)",10,False
28,"(4, 2, 1, 1, 1, 1)",10,False
29,"(3, 3, 2, 1, 1)",10,False
30,"(3, 2, 2, 2, 1)",10,False
31,"(3, 2, 2, 1, 1, 1)",10,False
32,"(3, 2, 1, 1, 1, 1, 1)",10,False
33,"(8, 2, 1)",11,False
34,"(7, 3, 1)",11,False
35,"(7, 2, 1, 1)",11,False
36,"(6, 4, 1)",11,False
37,"(6, 3, 2)",11,False
38,"(6, 3, 1, 1)",11,False
39,"(6, 2, 2, 1)",11,False
40,"(6, 2, 1, 1, 1)",11,False
41,"(5, 4, 2)",11,False
42,"(5, 4, 1, 1)",11,False
43,"(5, 3, 1, 1, 1)",11,False
44,"(5, 2, 2, 1, 1)",11,False
45,"(5, 2, 1, 1, 1, 1)",11,False
46,"(4, 4, 2, 1)",11,False
47,"(4, 3, 3, 1)",11,False
48,"(4, 3, 2, 2)",11,False
49,"(4, 3, 1, 1, 1, 1)",11,False
50,"(4, 2, 2, 2, 1)",11,False
51,"(4, 2, 2, 1, 1, 1)",11,False
52,"(4, 2, 1, 1, 1, 1, 1)",11,False
53,"(3, 3, 2, 2, 1)",11,False
54,"(3, 3, 2, 1, 1, 1)",11,False
55,"(3, 2, 2, 2, 1, 1)",11,False
56,"(3, 2, 2, 1, 1, 1, 1)",11,False
57,"(3, 2, 1, 1, 1, 1, 1, 1)",11,False
58,"(9, 2, 1)",12,False
59,"(8, 3, 1)",12,False
60,"(8, 2, 1, 1)",12,False
61,"(7, 4, 1)",12,False
62,"(7, 3, 2)",12,False
63,"(7, 3, 1, 1)",12,False
64,"(7, 2, 2, 1)",12,False
65,"(7, 2, 1, 1, 1)",12,False
66,"(6, 5, 1)",12,False
67,"(6, 4, 2)",12,False
68,"(6, 4, 1, 1)",12,False
69,"(6, 3, 1, 1, 1)",12,False
70,"(6, 2, 2, 1, 1)",12,False
71,"(6, 2, 1, 1, 1, 1)",12,False
72,"(5, 4, 3)",12,False
73,"(5, 4, 1, 1, 1)",12,False
74,"(5, 3, 3, 1)",12,False
75,"(5, 3, 2, 2)",12,False
76,"(5, 3, 1, 1, 1, 1)",12,False
77,"(5, 2, 2, 2, 1)",12,False
78,"(5, 2, 2, 1, 1, 1)",12,False
79,"(5, 2, 1, 1, 1, 1, 1)",12,False
80,"(4, 4, 3, 1)",12,False
81,"(4, 4, 2, 1, 1)",12,False
82,"(4, 3, 3, 2)",12,False
83,"(4, 3, 3, 1, 1)",12,False
84,"(4, 3, 1, 1, 1, 1, 1)",12,False
85,"(4, 2, 2, 2, 1, 1)",12,False
86,"(4, 2, 2, 1, 1, 1, 1)",12,False
87,"(4, 2, 1, 1, 1, 1, 1, 1)",12,False
88,"(3, 3, 3, 2, 1)",12,False
89,"(3, 3, 2, 2, 1, 1)",12,False
90,"(3, 3, 2, 1, 1, 1, 1)",12,False
91,"(3, 2, 2, 2, 2, 1)",12,False
92,"(3, 2, 2, 2, 1, 1, 1)",12,False
93,"(3, 2, 2, 1, 1, 1, 1, 1)",12,False
94,"(3, 2, 1, 1, 1, 1, 1, 1, 1)",12,False
95,"(10, 2, 1)",13,False
96,"(9, 3, 1)",13,False
97,"(9, 2, 1, 1)",13,False
98,"(8, 4, 1)",13,False
99,"(8, 3, 2)",13,False
